position
"{'lat': 45.019594, 'lon': -93.493492}"
"{'lat': 44.859339, 'lon': -93.532191}"
"{'lat': 44.859781, 'lon': -93.530774}"
"{'lat': 44.915087, 'lon': -93.503886}"
"{'lat': 44.91179, 'lon': -93.503989}"
"{'lat': 44.84144, 'lon': -93.539416}"
"{'lat': 44.861117, 'lon': -93.523621}"
"{'lat': 45.021101, 'lon': -93.484029}"
"{'lat': 45.01829, 'lon': -93.4836}"
"{'lat': 45.199099, 'lon': -93.554418}"
"{'lat': 45.199075, 'lon': -93.553525}"
"{'lat': 45.211904, 'lon': -93.56491}"
"{'lat': 45.195756, 'lon': -93.549837}"
"{'lat': 45.199064, 'lon': -93.549366}"
"{'lat': 45.168307, 'lon': -93.524728}"
"{'lat': 45.121777, 'lon': -94.505333}"
"{'lat': 45.208091, 'lon': -93.55402}"
"{'lat': 45.332161, 'lon': -93.744716}"
"{'lat': 45.012073, 'lon': -93.463906}"
"{'lat': 45.011847, 'lon': -93.462989}"
"{'lat': 45.0117, 'lon': -93.462242}"
"{'lat': 45.013314, 'lon': -93.46221}"
"{'lat': 45.125923, 'lon': -93.490823}"
"{'lat': 44.921903, 'lon': -93.47202}"
"{'lat': 45.127623, 'lon': -93.48906}"
"{'lat': 45.123557, 'lon': -94.514165}"
"{'lat': 45.00977, 'lon': -93.452425}"
"{'lat': 45.030017, 'lon': -93.449787}"
"{'lat': 45.133034, 'lon': -93.478522}"
"{'lat': 45.12621, 'lon': -94.528769}"
"{'lat': 44.972334, 'lon': -93.443283}"
"{'lat': 45.384591, 'lon': -93.862459}"
