index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
667,IL,17,17145,17.4,2010
668,IL,17,17147,7.3,2010
669,IL,17,17149,17.0,2010
670,IL,17,17151,17.9,2010
671,IL,17,17153,20.8,2010
672,IL,17,17155,7.8,2010
673,IL,17,17157,13.5,2010
674,IL,17,17159,14.5,2010
675,IL,17,17161,12.5,2010
676,IL,17,17163,15.9,2010
677,IL,17,17165,19.4,2010
678,IL,17,17167,13.2,2010
679,IL,17,17169,12.0,2010
680,IL,17,17171,9.7,2010
681,IL,17,17173,12.3,2010
682,IL,17,17175,10.6,2010
683,IL,17,17177,13.4,2010
684,IL,17,17179,9.9,2010
685,IL,17,17181,18.4,2010
686,IL,17,17183,20.9,2010
687,IL,17,17185,14.4,2010
688,IL,17,17187,13.9,2010
689,IL,17,17189,8.2,2010
690,IL,17,17191,14.9,2010
691,IL,17,17193,16.9,2010
692,IL,17,17195,11.7,2010
693,IL,17,17197,8.5,2010
694,IL,17,17199,16.0,2010
695,IL,17,17201,17.5,2010
696,IL,17,17203,7.5,2010
697,IN,18,18001,16.8,2010
698,IN,18,18003,13.9,2010
699,IN,18,18005,12.8,2010
700,IN,18,18007,11.3,2010
701,IN,18,18009,16.0,2010
702,IN,18,18011,8.0,2010
703,IN,18,18013,13.2,2010
704,IN,18,18015,10.1,2010
705,IN,18,18017,16.7,2010
706,IN,18,18019,12.5,2010
707,IN,18,18021,13.6,2010
708,IN,18,18023,12.8,2010
709,IN,18,18025,17.0,2010
710,IN,18,18027,14.7,2010
711,IN,18,18029,10.1,2010
712,IN,18,18031,13.6,2010
713,IN,18,18033,10.6,2010
714,IN,18,18035,24.2,2010
715,IN,18,18037,8.4,2010
716,IN,18,18039,17.2,2010
717,IN,18,18041,17.0,2010
718,IN,18,18043,12.4,2010
719,IN,18,18045,12.4,2010
720,IN,18,18047,12.3,2010
721,IN,18,18049,13.8,2010
722,IN,18,18051,12.1,2010
723,IN,18,18053,19.8,2010
724,IN,18,18055,14.0,2010
725,IN,18,18057,4.9,2010
726,IN,18,18059,8.5,2010
727,IN,18,18061,11.0,2010
728,IN,18,18063,6.4,2010
729,IN,18,18065,16.2,2010
730,IN,18,18067,16.0,2010
731,IN,18,18069,11.3,2010
732,IN,18,18071,12.7,2010
733,IN,18,18073,9.5,2010
734,IN,18,18075,15.6,2010
735,IN,18,18077,15.9,2010
736,IN,18,18079,14.2,2010
737,IN,18,18081,10.5,2010
738,IN,18,18083,17.6,2010
739,IN,18,18085,13.4,2010
740,IN,18,18087,16.1,2010
741,IN,18,18089,17.7,2010
